,,hour/min,,hour/min,,hour/min,,hour/min,,hour/min,,hour/min,,hour/min,,hour/min,,hour/min,,hour/min,,hour/min,,hour/min,,hour/min,,hour/min,,hour/min,,hour/min,,hour/min,,hour/min,,hour/min,,hour/min,
,,start,end,start,end,start,end,start,end,start,end,start,end,start,end,start,end,start,end,start,end,start,end,start,end,start,end,start,end,start,end,start,end,start,end,start,end,start,end,start,end
OpenKitchenDoor,1003,17:11,17:11,17:11,17:11,17:11,17:11,17:20,17:20,17:20,17:20,17:20,17:20,17:27,17:27,17:27,17:27,17:27,17:27,17:27,17:27,17:27,17:27,17:27,17:27,,,,,,,,,,,,,,,,
OpenKitchenDoor,1003,10.025,10.801,19.887,20.702,29.71,30.642,14.695,15.469,24.399,25.43,34.528,35.1417,4.8,5.734,14.608,15.426,24.708,25.584,34.69,35.567,40.733,45.784,54.75,55.709,,,,,,,,,,,,,,,,
CloseKitchenDoor,1001,17:11,17:11,17:11,17:11,17:11,17:11,17:11,17:11,17:20,17:20,17:20,17:20,17:20,17:20,17:20,17:20,17:27,17:27,17:27,17:27,17:27,17:27,17:27,17:27,17:27,17:27,17:27,17:28,,,,,,,,,,,,
CloseKitchenDoor,1001,5.205,6.178,16.029,17.08,25.645,27.086,35.962,37.052,10.351,11.782,20.408,21.375,30.195,31.394,40.369,41.529,10.016,11.353,19.436,21.587,29.786,31.763,40.368,41.88,50.311,51.765,59.673,1.65,,,,,,,,,,,,
CloseKitchenDoor,1002,17:11,17:11,17:11,17:11,17:11,17:11,17:11,17:11,17:20,17:20,17:20,17:20,17:20,17:20,17:20,17:20,17:27,17:27,17:27,17:27,17:27,17:27,17:27,17:27,17:27,17:27,17:27,17:28,,,,,,,,,,,,
CloseKitchenDoor,1002,5.043,6.136,15.698,16.791,25.69,26.705,36.189,37.008,10.737,11.707,20.326,21.374,29.799,31.468,40.32,41.563,9.894,11.057,19.489,20.827,30.131,31.643,39.785,41.471,50.31,51.764,59.906,1.301,,,,,,,,,,,,
CloseKitchenDoor,1003,17:11,17:11,17:11,17:11,17:11,17:11,17:11,17:11,17:20,17:20,17:20,17:20,17:20,17:20,17:20,17:20,17:27,17:27,17:27,17:27,17:27,17:27,17:27,17:27,17:27,17:27,17:27,17:28,,,,,,,,,,,,
CloseKitchenDoor,1003,5.288,6.142,15.849,16.936,25.672,26.798,36.155,37.087,10.443,10.68,20.417,21.577,30.468,31.164,40.588,41.52,10.055,11.456,19.863,21.089,30.255,31.539,40.646,41.697,50.63,51.972,59.852,1.605,,,,,,,,,,,,
KitchenLight,1000,17:47,17:48,17:56,17:56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KitchenLight,1000,44.365,42.883,3.407,47.263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FlushToilet,1001,18:21,18:21,18:23,18:23,18:25,18:25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FlushToilet,1001,40.036,59.442,39.643,59.158,1.859,20.311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WashHand,1001,18:05,18:05,18:05,18:05,18:05,18:05,18:05,18:05,18:05,18:05,18:08,18:09,18:09,18:09,18:09,18:09,18:09,18:09,18:09,18:09,18:09,18:09,,,,,,,,,,,,,,,,,,
WashHand,1001,9.853,16.114,19.724,25.422,29.539,35.518,39.749,45.672,49.789,55.599,59.402,4.871,9.201,14.727,18.886,24.868,28.628,35.179,39.623,45.434,49.137,54.834,,,,,,,,,,,,,,,,,,
Bathe,1001,18:13,18:13,18:13,18:13,18:13,18:13,18:13,18:13,18:13,18:13,18:13,18:13,18:16,18:16,18:16,18:16,18:16,18:16,18:16,18:16,18:16,18:16,18:16,18:16,,,,,,,,,,,,,,,,
Bathe,1001,0,6.067,10.465,17.063,20.478,26.266,30.317,36.394,40.272,46.292,50.517,56.42,1.4,6.5,10.545,16.231,20.393,26.196,30.593,36.63,40.382,46.596,49.644,56.502,,,,,,,,,,,,,,,,
BoilWater,1000,18:36,18:36,18:39,18:39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BoilWater,1000,10,30,10,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MicrowaveOven,1000,18:42,18:42,18:45,18:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MicrowaveOven,1000,25,52,10,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
InductionCooker,1000,18:30,18:33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
InductionCooker,1000,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NoAppliance,1000,18:52,18:55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NoAppliance,1000,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NoAppliance,1001,18:52,18:55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NoAppliance,1001,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
